"fips","State","County","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020-2050"
"1117","AL","Shelby County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1119","AL","Sumter County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1121","AL","Talladega County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17826.190510284,18650.9043083072,18650.9043083072,18650.9043083072,18650.9043083072,18638.1384600469,0,0
"1125","AL","Tuscaloosa County",0,0,0,0,0,0,0,0,0,0,0,0,0,249138.827433888,13172404.9472817,69762224.1886939,77819817.901321,30275168.7589437,30004205.8661274,28927433.3742668,4954752.3631063,51614.0440303771
"1127","AL","Walker County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,335439.880656064,1218915.40417287,1218915.40417287,1218915.40417287,1218915.40417287,565372.818077328,0,0
"1133","AL","Winston County",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20971.5591084671,510307.938306032,482345.859494743,0,0,0,0,0
"12001","FL","Alachua County",0,0,0,0,0,0,0,0,0,0,0,126414.804436514,233037.392016807,164722.320932428,0,0,0,0,0,0,0,0
"12003","FL","Baker County",0,0,0,0,0,0,0,0,0,0,0,131925.208242578,234891.224431907,102966.016189329,0,0,0,0,0,0,0,0
"12005","FL","Bay County",0,0,0,0,0,0,0,0,0,0,0,197828.116787174,361366.026664572,493653.800825743,494382.659085584,295235.688186495,88920.707700622,0,0,0,0,0
"12009","FL","Brevard County",0,0,0,0,0,0,0,0,0,340221.809999142,665516.500250242,1331526.71340462,1711356.4170774,2351367.27106221,2520763.40277128,2223036.86825232,316573.461313917,0,0,0,0,0
"12011","FL","Broward County",0,0,0,0,0,0,0,0,1952450.32919549,5523034.09798094,7953411.70480121,7290222.6810506,6591207.56539309,6591207.56539309,6591207.56539309,6591207.56539309,4926844.56636511,0,0,0,0,0
"12013","FL","Calhoun County",0,0,0,0,0,0,0,0,0,0,0,178493.440955527,289556.026438966,206445.231076782,109480.080633869,14097.4350405256,0,0,0,0,0,0
